V_B2_A,V_B2_B,V_B2_C,I_B2_A,I_B2_B,I_B2_C,V_B3_A,V_B3_B,V_B3_C,I_B3_A,I_B3_B,I_B3_C,V_B4_A,V_B4_B,V_B4_C,I_B4_A,I_B4_B,I_B4_C,V_B5_A,V_B5_B,V_B5_C,I_B5_A,I_B5_B,I_B5_C,class,label,scenario
10743.2021584602,10743.2021584571,10743.2021584044,70.2715198887576,70.2715198895068,70.2715198887692,10672.5484514346,10672.5484514338,10672.5484513799,93.1717012506178,93.1717012515485,93.1717012505897,10639.5456401678,10639.5456401661,10639.5456401127,116.17393020739,116.173930208609,116.173930207406,10863.3964107433,10863.3964107591,10863.3964107319,78.3331136886804,78.3331136889346,78.3331136890107,0,Healthy,Healthy LM=0.64 rep=1
10743.2021584602,10743.2021584571,10743.2021584044,70.2715198887576,70.2715198895068,70.2715198887692,10672.5484514346,10672.5484514338,10672.5484513799,93.1717012506178,93.1717012515485,93.1717012505897,10639.5456401678,10639.5456401661,10639.5456401127,116.17393020739,116.173930208609,116.173930207406,10863.3964107433,10863.3964107591,10863.3964107319,78.3331136886804,78.3331136889346,78.3331136890107,0,Healthy,Healthy LM=0.64 rep=2
10743.2021584602,10743.2021584571,10743.2021584044,70.2715198887576,70.2715198895068,70.2715198887692,10672.5484514346,10672.5484514338,10672.5484513799,93.1717012506178,93.1717012515485,93.1717012505897,10639.5456401678,10639.5456401661,10639.5456401127,116.17393020739,116.173930208609,116.173930207406,10863.3964107433,10863.3964107591,10863.3964107319,78.3331136886804,78.3331136889346,78.3331136890107,0,Healthy,Healthy LM=0.64 rep=3
10743.2021584602,10743.2021584571,10743.2021584044,70.2715198887576,70.2715198895068,70.2715198887692,10672.5484514346,10672.5484514338,10672.5484513799,93.1717012506178,93.1717012515485,93.1717012505897,10639.5456401678,10639.5456401661,10639.5456401127,116.17393020739,116.173930208609,116.173930207406,10863.3964107433,10863.3964107591,10863.3964107319,78.3331136886804,78.3331136889346,78.3331136890107,0,Healthy,Healthy LM=0.64 rep=4
10743.2021584602,10743.2021584571,10743.2021584044,70.2715198887576,70.2715198895068,70.2715198887692,10672.5484514346,10672.5484514338,10672.5484513799,93.1717012506178,93.1717012515485,93.1717012505897,10639.5456401678,10639.5456401661,10639.5456401127,116.17393020739,116.173930208609,116.173930207406,10863.3964107433,10863.3964107591,10863.3964107319,78.3331136886804,78.3331136889346,78.3331136890107,0,Healthy,Healthy LM=0.64 rep=5
10743.2021584602,10743.2021584571,10743.2021584044,70.2715198887576,70.2715198895068,70.2715198887692,10672.5484514346,10672.5484514338,10672.5484513799,93.1717012506178,93.1717012515485,93.1717012505897,10639.5456401678,10639.5456401661,10639.5456401127,116.17393020739,116.173930208609,116.173930207406,10863.3964107433,10863.3964107591,10863.3964107319,78.3331136886804,78.3331136889346,78.3331136890107,0,Healthy,Healthy LM=0.64 rep=6
10743.2021584602,10743.2021584571,10743.2021584044,70.2715198887576,70.2715198895068,70.2715198887692,10672.5484514346,10672.5484514338,10672.5484513799,93.1717012506178,93.1717012515485,93.1717012505897,10639.5456401678,10639.5456401661,10639.5456401127,116.17393020739,116.173930208609,116.173930207406,10863.3964107433,10863.3964107591,10863.3964107319,78.3331136886804,78.3331136889346,78.3331136890107,0,Healthy,Healthy LM=0.64 rep=7
10743.2021584602,10743.2021584571,10743.2021584044,70.2715198887576,70.2715198895068,70.2715198887692,10672.5484514346,10672.5484514338,10672.5484513799,93.1717012506178,93.1717012515485,93.1717012505897,10639.5456401678,10639.5456401661,10639.5456401127,116.17393020739,116.173930208609,116.173930207406,10863.3964107433,10863.3964107591,10863.3964107319,78.3331136886804,78.3331136889346,78.3331136890107,0,Healthy,Healthy LM=0.64 rep=8
10743.2021584602,10743.2021584571,10743.2021584044,70.2715198887576,70.2715198895068,70.2715198887692,10672.5484514346,10672.5484514338,10672.5484513799,93.1717012506178,93.1717012515485,93.1717012505897,10639.5456401678,10639.5456401661,10639.5456401127,116.17393020739,116.173930208609,116.173930207406,10863.3964107433,10863.3964107591,10863.3964107319,78.3331136886804,78.3331136889346,78.3331136890107,0,Healthy,Healthy LM=0.64 rep=9
10743.2021584602,10743.2021584571,10743.2021584044,70.2715198887576,70.2715198895068,70.2715198887692,10672.5484514346,10672.5484514338,10672.5484513799,93.1717012506178,93.1717012515485,93.1717012505897,10639.5456401678,10639.5456401661,10639.5456401127,116.17393020739,116.173930208609,116.173930207406,10863.3964107433,10863.3964107591,10863.3964107319,78.3331136886804,78.3331136889346,78.3331136890107,0,Healthy,Healthy LM=0.64 rep=10
