V_B2_A,V_B2_B,V_B2_C,V_B3_A,V_B3_B,V_B3_C,V_B4_A,V_B4_B,V_B4_C,V_B5_A,V_B5_B,V_B5_C,I_B2_A,I_B2_B,I_B2_C,I_B3_A,I_B3_B,I_B3_C,I_B4_A,I_B4_B,I_B4_C,I_B5_A,I_B5_B,I_B5_C,class_label,class_name
10835.9223972609,10835.9223972574,10835.9223972603,10820.7196288833,10820.7196288795,10820.7196288825,10819.0446450372,10819.0446450368,10819.0446450372,10844.7550397399,10844.7550397372,10844.7550397379,73.2479695682398,73.247969568192,73.247969568173,97.5711158623507,97.5711158623089,97.5711158622836,121.978283217534,121.978283217533,121.97828321755,80.7181382316429,80.7181382316318,80.7181382316037,0,Healthy
10835.7439256399,10835.7439256436,10835.7439256473,10820.5252269835,10820.5252269875,10820.5252269901,10818.8485119986,10818.848512004,10818.8485120077,10844.5865705661,10844.5865705668,10844.5865705667,73.3247594313141,73.324759431229,73.3247594312995,97.6732587777924,97.6732587777064,97.6732587778097,122.105956923103,122.105956922968,122.105956923115,80.8028350493569,80.8028350493625,80.8028350493782,0,Healthy
10838.1671956454,10838.1671956517,10838.1671956533,10823.1649162074,10823.1649162116,10823.1649162119,10821.5117199265,10821.5117199317,10821.5117199332,10846.8740238872,10846.8740238921,10846.8740238888,72.2815731349008,72.281573134833,72.281573134922,96.2856259956751,96.2856259956236,96.2856259957046,120.371479521993,120.371479521925,120.371479522055,79.6522474473522,79.6522474473614,79.6522474473979,0,Healthy
10816.1117472249,10816.1117472221,10816.1117472277,10799.1491442612,10799.149144261,10799.1491442662,10797.2829576687,10797.2829576667,10797.2829576709,10826.054344576,10826.0543445768,10826.054344576,81.7334782869273,81.7334782868663,81.7334782868707,108.856333428582,108.856333428475,108.856333428516,136.084003054188,136.084003054141,136.084003054169,90.0784032366505,90.0784032366493,90.0784032366702,0,Healthy
10817.5494439938,10817.5494439962,10817.549444002,10800.7139862089,10800.7139862122,10800.7139862141,10798.861611151,10798.8616111517,10798.8616111543,10827.4115134187,10827.4115134165,10827.411513421,81.1202478281968,81.120247828087,81.1202478281838,108.040901076895,108.040901076839,108.040901076937,135.064787902042,135.064787901984,135.06478790206,89.4018869235471,89.4018869234836,89.4018869235152,0,Healthy
10816.3342237065,10816.3342237095,10816.3342237135,10799.3912900594,10799.3912900632,10799.3912900683,10797.5272400756,10797.5272400787,10797.5272400828,10826.2643600007,10826.2643600049,10826.2643600048,81.6386100594415,81.6386100593626,81.6386100594323,108.730185384029,108.730185383913,108.730185384037,135.926329820803,135.92632982069,135.926329820827,89.9737438325038,89.9737438324892,89.9737438325565,0,Healthy
10816.6645356764,10816.6645356799,10816.6645356798,10799.7508090551,10799.7508090594,10799.7508090594,10797.8899317575,10797.8899317614,10797.8899317625,10826.5761708245,10826.5761708278,10826.5761708252,81.49774106249,81.4977410624508,81.4977410624712,108.542868374607,108.542868374522,108.542868374582,135.692200997669,135.692200997595,135.692200997652,89.8183364681677,89.8183364681866,89.8183364681905,0,Healthy
10818.8593604155,10818.8593604174,10818.8593604169,10802.1398243115,10802.1398243129,10802.1398243124,10800.300041952,10800.3000419532,10800.3000419532,10828.648055773,10828.648055777,10828.6480557755,80.5611717168734,80.5611717168988,80.5611717168957,107.297462188414,107.297462188416,107.297462188422,134.135555574062,134.135555574097,134.135555574096,88.7851231420563,88.7851231420317,88.7851231420848,0,Healthy
10816.4645482224,10816.4645482265,10816.4645482199,10799.5331376415,10799.5331376455,10799.5331376376,10797.6703393791,10797.67033938,10797.6703393747,10826.3873849083,10826.3873849114,10826.3873849064,81.5830327484963,81.583032748573,81.5830327485396,108.656282975692,108.656282975786,108.656282975733,135.833958708557,135.833958708677,135.833958708557,89.9124306036906,89.9124306037414,89.9124306037402,0,Healthy
10822.6218530067,10822.6218530032,10822.6218530055,10806.2356899023,10806.235689901,10806.2356899012,10804.4321240542,10804.432124051,10804.4321240523,10832.1997774809,10832.1997774803,10832.1997774775,78.9534746139222,78.9534746138847,78.9534746138633,105.159513616196,105.159513616209,105.159513616165,131.463297957013,131.463297956981,131.463297956888,87.0115874730822,87.0115874731164,87.0115874730944,0,Healthy
10821.8282372592,10821.8282372596,10821.8282372588,10805.3717057546,10805.3717057574,10805.3717057534,10803.5604950894,10803.5604950896,10803.560495089,10831.4506213921,10831.4506213929,10831.4506213932,79.2928126353068,79.2928126352967,79.292812635283,105.610783634372,105.61078363445,105.610783634451,132.027349435854,132.027349435868,132.02734943585,87.3859230194143,87.3859230193859,87.3859230194054,0,Healthy
10822.9412390055,10822.941239006,10822.9412390075,10806.5834029075,10806.58340291,10806.5834029107,10804.782914533,10804.7829145349,10804.7829145355,10832.5012706342,10832.5012706392,10832.5012706367,78.8168753454367,78.8168753454074,78.8168753454435,104.977854820624,104.977854820585,104.977854820654,131.236238741155,131.236238741127,131.236238741173,86.8609010095637,86.8609010095729,86.8609010096122,0,Healthy
10820.8730275959,10820.8730275945,10820.8730275944,10804.3318353903,10804.3318353901,10804.3318353901,10802.5114273676,10802.5114273671,10802.5114273645,10830.5489226337,10830.5489226327,10830.5489226312,79.7010829766375,79.7010829766587,79.7010829766503,106.153715525596,106.153715525584,106.153715525581,132.705969833399,132.705969833391,132.705969833382,87.8363045736517,87.8363045737022,87.8363045736588,0,Healthy
10803.9368797439,10803.9368797441,10803.9368797367,10785.9010925887,10785.9010925926,10785.9010925839,10783.9183439172,10783.9183439207,10783.9183439119,10814.5612542399,10814.5612542434,10814.5612542404,86.9105598205399,86.910559820668,86.9105598205669,115.739672912946,115.739672913078,115.739672913045,144.687434020134,144.687434020342,144.687434020271,95.7901959765776,95.7901959766167,95.7901959766134,0,Healthy
10804.8849312271,10804.8849312333,10804.8849312258,10786.9324876025,10786.9324876089,10786.9324876021,10784.9587901273,10784.9587901324,10784.9587901268,10815.4562264872,10815.4562264868,10815.4562264863,86.5084410313618,86.5084410314673,86.5084410314857,115.205075021995,115.205075022083,115.205075022118,144.019251311249,144.019251311388,144.019251311407,95.3465168342739,95.3465168342665,95.346516834266,0,Healthy
10800.3790057812,10800.3790057841,10800.3790057729,10782.0307810278,10782.0307810319,10782.0307810195,10780.0141028168,10780.0141028204,10780.0141028083,10811.2025613165,10811.2025613194,10811.202561317,88.4181196035101,88.4181196036507,88.4181196035822,117.743825904498,117.743825904669,117.743825904588,147.192372496937,147.192372497211,147.192372497103,97.4536090826155,97.4536090826251,97.4536090826423,0,Healthy
10804.1948587451,10804.1948587432,10804.1948587478,10786.1817468736,10786.181746872,10786.1817468786,10784.2014607408,10784.2014607387,10784.2014607441,10814.8047897552,10814.8047897565,10814.8047897558,86.8011542188532,86.8011542187876,86.8011542188088,115.594224199575,115.594224199432,115.59422419949,144.50564083088,144.50564083077,144.505640830804,95.669482470687,95.6694824706786,95.669482470699,0,Healthy
10804.8074859859,10804.8074859885,10804.8074859864,10786.8482327036,10786.8482327038,10786.8482327064,10784.8737956875,10784.8737956873,10784.8737956854,10815.3831172811,10815.3831172821,10815.3831172816,86.5412960745376,86.541296074533,86.5412960745601,115.24875457102,115.248754570912,115.248754570986,144.073845506238,144.07384550625,144.073845506263,95.3827673830574,95.3827673830681,95.3827673830919,0,Healthy
10802.6920084576,10802.6920084573,10802.692008457,10784.5468415745,10784.546841573,10784.5468415688,10782.5522144055,10782.5522144032,10782.5522143983,10813.3860777123,10813.3860777101,10813.3860777098,87.4383160123992,87.4383160124228,87.438316012418,116.441286768876,116.441286768954,116.441286768877,145.56436471407,145.564364714198,145.564364714086,96.3725047046556,96.3725047046663,96.3725047046379,0,Healthy
10805.9385377542,10805.9385377526,10805.938537756,10788.0787613785,10788.0787613803,10788.0787613812,10786.1151278682,10786.1151278662,10786.1151278711,10816.4508418812,10816.4508418843,10816.4508418824,86.061349935729,86.0613499356801,86.0613499356832,114.610678522043,114.610678522018,114.610678522038,143.276326197991,143.27632619792,143.276326197946,94.853222859466,94.8532228594776,94.8532228595279,0,Healthy
